phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://python.robertdevore.com/course/file-io-and-data-persistence/,content/posts/file-io-and-data-persistence.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python file I/O,text files; paths; CSV; JSON; persistence; exceptions,2.2. File I/O & Data Persistence,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2,2527,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/functions-and-modules/,content/posts/functions-and-modules.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python functions and modules,parameters; return values; scope; imports; standard library,1.4. Functions & Modules,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2371,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,content/posts/generators-decorators-and-context-managers.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python generators decorators and context managers,iterators; yield; wraps; resource cleanup,"3.2. Generators, Decorators and Context Managers",h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h2,1817,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/,templates/page-course.html,course-collection,List sequenced course lessons,course navigation,Python learners,Python Course,Python course curriculum,lesson listings; pagination; learning path,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,207,,,repository-backed site and curriculum description,Pagination is useful navigation but not a primary citation target,,Keep pagination internally linked and canonical
after,https://python.robertdevore.com/course/introduction-to-testing/,content/posts/introduction-to-testing.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python testing,pytest; unit tests; fixtures; mocking; test workflow,2.5. Introduction to Testing,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2266,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/object-oriented-programming/,content/posts/object-oriented-programming.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python object-oriented programming,classes; inheritance; composition; polymorphism; properties,2.1. Object-Oriented Programming (OOP),h1 > h2 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h2 > h3 > h2 > h2 > h2,2520,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,content/posts/packaging-distribution-and-best-practices.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python packaging and PyPI,pyproject.toml; build; twine; CI; linting; typing,"3.5. Packaging, Distribution, and Best Practices",h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h2,1755,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/page/2/,templates/page-course.html,course-pagination,List sequenced course lessons,course navigation,Python learners,Python Course,Python course curriculum,lesson listings; pagination; learning path,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,201,,,repository-backed site and curriculum description,Pagination is useful navigation but not a primary citation target,,Keep pagination internally linked and canonical
after,https://python.robertdevore.com/course/page/3/,templates/page-course.html,course-pagination,List sequenced course lessons,course navigation,Python learners,Python Course,Python course curriculum,lesson listings; pagination; learning path,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,190,,,repository-backed site and curriculum description,Pagination is useful navigation but not a primary citation target,,Keep pagination internally linked and canonical
after,https://python.robertdevore.com/course/page/4/,templates/page-course.html,course-pagination,List sequenced course lessons,course navigation,Python learners,Python Course,Python course curriculum,lesson listings; pagination; learning path,Python Course,h1 > h2 > h2,89,,,repository-backed site and curriculum description,Pagination is useful navigation but not a primary citation target,,Keep pagination internally linked and canonical
after,https://python.robertdevore.com/course/python-setup-and-ides/,content/posts/python-setup-and-ides.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python installation and IDE setup,Windows; macOS; Linux; VS Code; PyCharm; troubleshooting,1.1. Python Setup & IDEs,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2065,2025-06-17,2026-08-10,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/python-syntax-and-data-types/,content/posts/python-syntax-and-data-types.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python syntax and data types,variables; strings; numbers; booleans; conversion,1.2. Syntax & Data Types,h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2,1134,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/syntax-and-data-types/,content/posts/syntax-and-data-types.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python control flow,if statements; for loops; while loops; input validation,"1.3. Control Flow (If, For, While)",h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2,2505,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/virtual-environments-and-package-management/,content/posts/virtual-environments-and-package-management.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,Python virtual environments,venv; pip; requirements; dependency conflicts,2.3. Virtual Environments & Package Management,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2,1851,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,content/posts/welcome-to-the-complete-python-development-course.md,lesson,Teach one sequenced part of the Python curriculum,educational how-to,Python learners,Python programming language,complete Python course,course orientation; learning path; prerequisites,Welcome to the Complete Python Development Course,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2,1925,2025-06-17,2025-06-17,authored lesson narrative; extensive code examples,Add verified exercise outputs or runnable companion repositories where editorially appropriate,,Keep examples current; add primary documentation citations during future editorial review
after,https://python.robertdevore.com/,templates/page-home.html,home,Introduce and route learners into the course,course discovery,prospective Python learners,Python Course,complete Python development course,curriculum; beginner; intermediate; advanced; free lessons,Learn Python. Build real things.,h1 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2 > h2,365,,,repository-backed site and curriculum description,Measured search and AI visibility are unavailable,,Measure impressions and AI citations after deployment
